	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	mean	sd	min	max	
Netherlands	 506.37596	   94.0719	   167.612	 806.53821	 481.08399	 104.35114	   156.933	 769.87341	  514.1024	 90.236102	   167.612	 782.63428	  479.8223	 102.88776	   169.782	 768.53821	 491.04093	 103.09642	  232.2883	  774.9516	 456.80425	 108.64281	   156.933	 733.11792	
New Zealand	 490.87733	 89.078891	  227.1498	 797.78302	 506.41675	 101.37521	 79.250099	 798.52698	 496.35605	 86.032383	  227.9613	 797.78302	 508.21657	 102.48248	 79.250099	 798.52698	 478.87437	 94.835005	  227.1498	   784.716	 500.62093	 102.45732	 183.02321	 786.98102	
Norway	 488.54699	 85.956668	  210.8244	 759.83612	 494.69102	 101.60173	 54.305901	 812.02631	 499.58495	 84.322703	 220.83459	 727.66162	 497.80676	 102.63731	  182.8875	 756.84503	 468.47831	 89.370255	 230.66609	 759.83612	 476.63287	 104.97408	 160.77589	 779.58722	
Poland	 505.12935	  82.95755	 151.13879	 779.50012	 504.40233	 91.912779	  128.8158	 803.45367	 516.41638	 81.544872	  237.5269	  766.4989	 512.63242	 93.165694	  167.8851	 803.45367	  494.4546	 84.249711	 239.62801	 779.50012	 495.10716	 95.922974	  128.8158	 792.46741	
Portugal	 482.61048	  88.51605	  162.4431	 755.42749	 485.55696	 88.420369	 183.47231	 745.94238	 492.70995	 89.619534	 198.99699	 742.68311	 490.59827	 92.958269	  188.2576	 745.94238	 475.57748	 84.290687	  218.2563	 729.40509	 480.06531	 84.836023	 183.47231	 736.11371	
Slovak Republic	 478.12265	 93.261226	 159.80811	 764.82611	  455.3938	 97.944099	  125.3989	 728.83459	 488.58501	 93.122358	 159.80811	 744.02051	 460.57372	 97.968467	  160.8705	 728.83459	 468.62039	  96.83539	  185.4404	 745.51459	 450.99055	 97.602358	  125.3989	 727.17462	
Slovenia	 487.39647	 83.094482	  209.6284	  778.2088	  473.4837	 90.474331	  146.4482	 790.29688	  496.8476	  81.19904	  234.0733	 761.20911	 480.09989	 90.714767	  186.7173	 790.29688	 471.70524	  83.43508	  209.6284	 738.72302	 455.30676	 89.832752	   159.787	 727.09088	
Spain	 487.20822	 79.635299	  169.9839	 774.87012	 483.51783	 86.774965	  121.8208	  759.5744	 491.16067	 79.095658	  169.9839	   732.961	 482.72937	 88.088657	 176.42841	  757.3515	 481.86548	 80.387191	  201.8867	 773.45819	 480.86845	 86.246922	  121.8208	  759.5744	
Sweden	 492.45622	 87.017029	   150.164	 776.01318	 497.39794	 101.40676	 150.74651	 821.89917	 502.39308	 84.351004	 239.76089	 763.95551	 505.52546	 103.70074	  157.0748	 774.58478	  482.4206	 91.630586	   150.164	 763.23132	 487.52261	 104.10481	 150.74651	 821.89917	
Switzerland	  513.5739	 89.358678	 193.34711	 793.54651	 484.78432	 96.200973	 70.284004	 781.58923	   516.089	 86.389738	 193.34711	 767.00043	 484.42475	  97.75896	 70.284004	 764.78711	 506.45947	 92.080993	 245.08969	 782.78778	 481.54308	 99.250189	  129.1317	 758.59802	
Turkey	 441.51817	 82.613158	  179.4343	 751.75757	 449.53853	 82.426554	  138.9482	 725.21613	 452.60971	 81.216127	  179.4343	 719.95129	 464.59089	 84.355838	  210.6734	 725.21613	  451.8851	 86.160079	 230.61681	 751.75757	 454.84742	 82.344561	  198.4886	 682.03632	
United Kingdom	 489.67569	 84.975976	  114.4724	  834.4928	 495.14975	 92.948378	  154.4057	 816.35291	 495.17664	 81.912299	  182.2034	 754.22717	 499.58804	 94.616706	 184.62199	 794.63129	 481.82223	 91.520836	  182.7739	  834.4928	 490.44853	 97.041895	  154.4057	 816.35291	
United States	  468.4201	 86.578352	 192.28889	  785.6532	 499.31219	 101.23559	   107.962	 810.48743	 473.31167	 86.473719	  197.2394	 750.39349	 500.56769	 104.97531	 157.29581	 810.48743	 462.80969	 91.128913	  224.8876	  785.6532	 501.33838	 106.28166	   107.962	 798.18359	
Total	 487.63055	 88.228583	  114.4724	 840.66187	 488.32232	 95.691703	 37.961998	 890.17389	 492.88045	 86.428321	  136.0116	 825.18573	 490.44879	 97.434376	 70.284004	 816.44061	 479.26561	 90.512055	  128.0993	 840.66187	 481.28245	 96.670316	 37.961998	 890.17389	
